Municipio,mean,median,sum
Santa Cruz do Arari,231.2,82.0,2312
Santa Cruz do Xingu,1.0,1.0,2
Santa Filomena do Maranhão,1.0,1.0,2
Santa Helena,113.36363636363636,43.0,1247
Santa Inês,11.857142857142858,14.0,83
Santa Isabel do Rio Negro,2308.5,1322.0,27702
Santa Izabel do Pará,75.44444444444444,4.0,679
Santa Luzia,26.22222222222222,25.0,236
Santa Luzia D'Oeste,1.75,1.0,14
Santa Luzia do Paruá,24.88888888888889,35.0,224
Santa Luzia do Pará,5.0,4.0,40
Santa Maria das Barreiras,13.666666666666666,2.5,164
Santa Maria do Pará,4.142857142857143,3.0,29
Santa Quitéria do Maranhão,1.5,1.5,3
Santa Rita,1.0,1.0,2
Santa Rita do Trivelato,1.0,1.0,1
Santa Rosa do Purus,1.4285714285714286,1.0,10
Santa Tereza do Tocantins,1.0,1.0,1
Santa Terezinha,1.0,1.0,1
Santana,1689.5,1467.5,20274
Santana do Araguaia,80.625,4.0,645
Santarém,196.91666666666666,83.0,2363
Santarém Novo,53.833333333333336,60.5,323
Santo Afonso,1.0,1.0,2
Santo Amaro do Maranhão,1.0,1.0,1
Santo Antônio do Içá,1288.0833333333333,1318.5,15457
Santo Antônio do Leste,1.0,1.0,1
Santo Antônio do Leverger,2.5,2.5,5
Santo Antônio do Tauá,2.3333333333333335,2.0,14
Santo Antônio dos Lopes,1.0,1.0,4
Sapezal,13.875,3.0,111
Sapucaia,1.0,1.0,1
Satubinha,2.5,2.5,5
Sena Madureira,6.181818181818182,5.0,68
Senador Alexandre Costa,1.0,1.0,1
Senador Guiomard,233.5,150.5,2802
Senador José Porfírio,486.0,557.0,5346
Senador La Rocque,51.666666666666664,28.0,155
Seringueiras,20.727272727272727,13.0,228
Serra Nova Dourada,1.5,1.5,3
Serra do Navio,687.75,520.0,8253
Serrano do Maranhão,1.5,1.5,3
Silves,153.0,18.0,1836
Sinop,42.45454545454545,20.0,467
Sorriso,4.571428571428571,3.0,32
Soure,3.5555555555555554,4.0,32
Sucupira do Norte,1.75,2.0,7
São Benedito do Rio Preto,2.0,2.0,2
São Bento,3.0,3.0,6
São Bento do Tocantins,1.0,1.0,1
São Caetano de Odivelas,110.5,27.0,884
São Domingos do Araguaia,11.25,7.5,90
São Domingos do Capim,18.583333333333332,9.0,223
São Domingos do Maranhão,4.2,1.0,21
São Felipe D'Oeste,1.3333333333333333,1.0,8
São Francisco do Guaporé,66.08333333333333,23.0,793
São Francisco do Maranhão,1.0,1.0,1
São Francisco do Pará,1.5714285714285714,1.0,11
São Félix de Balsas,1.0,1.0,1
